respondent_id,submitted_date,department,region,role,product,service_category,satisfaction_rating,ease_of_use_rating,nps_score,main_feedback,improvement_feedback
1,2026-06-01,Support,North,Manager,SurveyIQ,Onboarding,5,5,9,"The onboarding walkthrough was clear and helped my team get started quickly.","Add a shorter checklist for managers who already know the workflow."
2,2026-06-02,Sales,South,Contributor,SurveyIQ,Reporting,4,4,8,"The PDF report looked professional and was easy to share with leadership.","Let me rename sections before downloading the report."
3,2026-06-03,Product,West,Director,SurveyIQ,Analysis,3,3,6,"Theme detection found useful patterns but a few labels felt too broad.","Give users a simple way to merge or rename themes."
4,2026-06-04,Operations,East,Contributor,SurveyIQ,Upload,2,3,4,"The upload worked but the column names were hard to understand in the preview.","Suggest likely feedback columns automatically."
5,2026-06-05,HR,North,Manager,SurveyIQ,Analysis,5,4,9,"Sentiment summaries made employee feedback much easier to explain.","Show low-confidence responses in a separate review list."
6,2026-06-06,Support,South,Contributor,SurveyIQ,Support,2,2,3,"I waited too long for help when analysis failed.","Provide clearer retry steps and a support-friendly error code."
7,2026-06-07,Sales,West,Director,SurveyIQ,Pricing,3,4,5,"The value is clear but pricing guidance is not visible enough.","Add plan examples for small teams and departments."
8,2026-06-08,Product,East,Manager,SurveyIQ,Dashboard,4,4,8,"The dashboard summary helped me see the main issues quickly.","Add trend lines when multiple surveys are available."
9,2026-06-09,Operations,North,Contributor,SurveyIQ,Export,5,5,10,"CSV export saved a lot of manual spreadsheet work.","Include the source column name when multiple comments are analysed."
10,2026-06-10,HR,South,Director,SurveyIQ,Reporting,4,3,7,"The executive summary was concise and useful for our leadership meeting.","Add a section that compares departments."
11,2026-06-11,Support,West,Manager,SurveyIQ,Onboarding,3,3,6,"Setup was fine but the first screen could explain the workflow better.","Show upload, analyse, review, and report as simple steps."
12,2026-06-12,Sales,East,Contributor,SurveyIQ,Analysis,2,2,3,"Some sentiment labels did not match the tone of mixed comments.","Explain why the AI chose a sentiment label."
13,2026-06-13,Product,North,Director,SurveyIQ,Dashboard,5,4,9,"Top themes were easy to scan and helped prioritize product fixes.","Let me filter themes by product area."
14,2026-06-14,Operations,South,Manager,SurveyIQ,Upload,4,4,8,"Excel upload worked smoothly for our survey export.","Show file size guidance before upload."
